panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
A_timedep_auroc,Plasma-5,84,0.8731884057971016,0.7638846856926256,0.9774533316048744,,
A_timedep_auroc,Plasma-5,87,0.8878260869565218,0.7551103163249085,0.9831232492997198,,
A_timedep_auroc,Plasma-5,90,0.8571428571428572,0.7130885254797495,0.949216635806865,,
A_timedep_auroc,Plasma-5,93,0.8571428571428572,0.7130885254797495,0.949216635806865,,
A_timedep_auroc,Plasma-5,96,0.8383838383838383,0.6505961879432625,0.9742736876857049,,
A_timedep_auroc,Plasma-5,99,0.8383838383838383,0.6505961879432625,0.9742736876857049,,
A_timedep_auroc,Plasma-5 + NfL,6,0.6021949254933548,0.527264829003064,0.6820289902308441,,
A_timedep_auroc,Plasma-5 + NfL,9,0.6285159285159285,0.5650322837847346,0.6923246553947296,,
A_timedep_auroc,Plasma-5 + NfL,12,0.7016217702034084,0.6384288808699892,0.7583701678947063,,
A_timedep_auroc,Plasma-5 + NfL,15,0.7188222494220047,0.6561330508474575,0.7835515125982753,,
A_timedep_auroc,Plasma-5 + NfL,18,0.7276456681963566,0.6582453416149069,0.7895038670343952,,
A_timedep_auroc,Plasma-5 + NfL,21,0.7274477855132574,0.658703953279425,0.7902753749997554,,
