fs,clf,horizon,auc_mean,auc_std,auc_count,bal_mean,bal_std,bal_count,sens_mean,sens_std,sens_count,spec_mean,spec_std,spec_count,ppv_mean,ppv_std,ppv_count,npv_mean,npv_std,npv_count
NfL,LDA,36,0.705042372881356,0.05766686074963362,200,0.6699455205811138,0.05720502741334562,200,0.5720338983050847,0.02194165435032436,200,0.7678571428571429,0.09246840047636691,200,0.9121621621621623,0.03498804342349028,200,0.2986111111111111,0.03595993351858715,200
NfL,LDA,54,0.704326923076923,0.06803359460549724,200,0.670201923076923,0.06977130217508942,200,0.5441538461538462,0.015292340202759316,200,0.79625,0.12425026414741946,200,0.955945945945946,0.026864921977820422,200,0.1769444444444444,0.02761116981053766,200
NfL,LDA,75,0.6870398009950249,0.09416230376087821,200,0.7028606965174129,0.08601266974968864,200,0.5173880597014925,0.007372514549973282,200,0.8883333333333333,0.16465282494940403,200,0.9904285714285714,0.01411309928137749,200,0.07614285714285712,0.01411309928137751,200
NfL,LogReg,12,0.7035144124168515,0.050238247311422096,200,0.6592941611234293,0.0476377141944321,200,0.6765151515151515,0.05278773735058696,200,0.6420731707317073,0.042487691038277306,200,0.6033783783783784,0.047080954934307286,200,0.7114864864864865,0.047080954934307286,200
NfL,LogReg,24,0.66242673992674,0.05547927733948769,200,0.6388415750915751,0.052662123931454904,200,0.5867307692307692,0.03029875623453571,200,0.6909523809523809,0.07502549162837413,200,0.8245945945945947,0.04258203578907724,200,0.40305555555555556,0.043764870116551585,200
NfL,LogReg,36,0.705042372881356,0.05766686074963362,200,0.6699455205811138,0.05720502741334562,200,0.5720338983050847,0.02194165435032436,200,0.7678571428571429,0.09246840047636691,200,0.9121621621621623,0.03498804342349028,200,0.2986111111111111,0.03595993351858715,200
NfL,LogReg,54,0.704326923076923,0.06803359460549724,200,0.670201923076923,0.06977130217508942,200,0.5441538461538462,0.015292340202759316,200,0.79625,0.12425026414741946,200,0.955945945945946,0.026864921977820422,200,0.1769444444444444,0.02761116981053766,200
NfL,LogReg,75,0.6870398009950249,0.09416230376087821,200,0.7028606965174129,0.08601266974968864,200,0.5173880597014925,0.007372514549973282,200,0.8883333333333333,0.16465282494940403,200,0.9904285714285714,0.01411309928137749,200,0.07614285714285712,0.01411309928137751,200
NfL,RF,12,0.6491925351071692,0.051956055462952434,200,0.6090410199556541,0.04493747226420996,200,0.6245454545454545,0.05008310622230678,200,0.5935365853658536,0.041298888450513556,200,0.552975849837692,0.04420705070836108,200,0.6626196532667121,0.0446853543337867,200
NfL,RF,24,0.6016117216117216,0.0568087110288588,200,0.5873397435897436,0.05104502113385034,200,0.5613461538461538,0.029828960453659938,200,0.6133333333333334,0.07388840931867109,200,0.7824366907393224,0.041087486655898946,200,0.36084434682964095,0.042677418951908484,200
NfL,RF,36,0.6348789346246974,0.06276910011284777,200,0.5862923728813559,0.062393930948542335,200,0.5500847457627118,0.0288257062428522,200,0.6225,0.10386281016341972,200,0.8601158793314808,0.03770444183448474,200,0.24711889694740943,0.03989148716549156,200
NfL,RF,54,0.6216778846153846,0.07235055698414472,200,0.5942788461538462,0.0840341564364131,200,0.5523076923076924,0.03235202289300535,200,0.63625,0.15860474401517946,200,0.925445685555577,0.03121173522217102,200,0.14853515630854827,0.03499122310519025,200
NfL,RF,75,0.6593905472636815,0.14221223621456597,200,0.6148383084577115,0.160155608552113,200,0.5763432835820895,0.053504975380382014,200,0.6533333333333333,0.3339023618809572,200,0.9748055582356979,0.02358833604375236,200,0.06304725859754465,0.031190903854781366,200
NfL,SVM,12,0.6963470066518848,0.050991963373467744,200,0.6576533628972654,0.04791615939651197,200,0.6746969696969697,0.05309628473667543,200,0.640609756097561,0.04273603405634855,200,0.6017567567567568,0.04735614584622402,200,0.7098648648648649,0.04735614584622402,200
NfL,SVM,24,0.48854853479853483,0.0771141140542735,200,0.49131868131868134,0.06548366131856297,200,0.5019230769230769,0.03772979999125487,200,0.4807142857142857,0.09325495681194315,200,0.7053058321479374,0.052947391512331715,200,0.28046031746031747,0.05442249564611334,200
NfL,SVM,36,0.5239225181598063,0.11389349540425937,200,0.5132960048426151,0.09038641851238444,200,0.5119491525423728,0.03466876326502416,200,0.5146428571428572,0.14610407375974468,200,0.8163513513513514,0.055282622503687165,200,0.20013888888888887,0.05681825090656737,200
NfL,SVM,54,0.53925,0.11505722623456768,200,0.5084471153846154,0.10172239752078754,200,0.5087692307692308,0.02227093996069933,200,0.508125,0.18119746682811158,200,0.8936664295874823,0.03916550649323036,200,0.1129285714285714,0.04025766449305613,200
NfL,SVM,75,0.5502487562189055,0.16422417517567137,200,0.5296019900497513,0.1581825136740564,200,0.5025373134328358,0.01355850117206199,200,0.5566666666666666,0.3028065261760509,200,0.9620000000000001,0.025954845100804338,200,0.04771428571428568,0.025954845100804355,200
NfL,kNN,12,0.622869549150037,0.04947901938266136,200,0.5891149297856615,0.043266649857717714,200,0.7103030303030303,0.07820118677432618,200,0.46792682926829265,0.07508934131121334,200,0.5187985230770932,0.03641215112537739,200,0.6704331704272662,0.059958615018691555,200
NfL,kNN,24,0.5808173076923078,0.058004837565722805,200,0.5633791208791209,0.056672445883378615,200,0.6696153846153847,0.07418693915818987,200,0.4571428571428571,0.1103163269756657,200,0.7541552700662774,0.038443599532195345,200,0.36023902132943314,0.06556980623421461,200
NfL,kNN,36,0.5944945520581114,0.06538058054192974,200,0.5617826876513317,0.062401348992381485,200,0.6467796610169492,0.08257049833470054,200,0.47678571428571426,0.13716915801286364,200,0.8398738466267553,0.03195932773039425,200,0.24430953309733605,0.0600486417740086,200
NfL,kNN,54,0.5901586538461538,0.07712869801872706,200,0.5562067307692308,0.07042855814980999,200,0.7205384615384616,0.10767328232187925,200,0.391875,0.18015448249436938,200,0.9069199785268336,0.021783647771047986,200,0.14973931085352926,0.05320708981257467,200
NfL,kNN,75,0.6011194029850746,0.13586194574826163,200,0.6087686567164179,0.1383045496223767,200,0.7725373134328357,0.05288549793702009,200,0.445,0.29565530656747485,200,0.9694182457954084,0.01555423696306311,200,0.07667327783342723,0.04764262633578447,200
NfL + slope,AdaBoost,12,0.7005192165558018,0.04821644424725869,200,0.6394050258684405,0.045799193291158065,200,0.6951515151515152,0.06918429568267097,200,0.5836585365853658,0.06631303328013533,200,0.5745046601164349,0.04372069377414194,200,0.7058793760812924,0.0535137346980328,200
NfL + slope,AdaBoost,24,0.6603502747252747,0.0509108471841337,200,0.624933608058608,0.05715100399710657,200,0.6260576923076924,0.06534132756111616,200,0.6238095238095238,0.10371466387797627,200,0.8058013706068866,0.04397741913722224,200,0.40439387366642054,0.05550129611771455,200
NfL + slope,AdaBoost,36,0.75727602905569,0.05005010786256832,200,0.7045671912832929,0.05982017658728888,200,0.6244915254237288,0.059642932176289874,200,0.7846428571428571,0.1271875551587609,200,0.9261636328142118,0.03656130127462342,200,0.33339891625744983,0.045181531610746305,200
NfL + slope,AdaBoost,54,0.8196778846153846,0.0618911482721792,200,0.744826923076923,0.06327527984072787,200,0.5821538461538461,0.029564348919058243,200,0.9075,0.12357224810819199,200,0.9813363766280659,0.02418917317438721,200,0.21088102202105993,0.026013525812986982,200
NfL + slope,AdaBoost,75,0.7922388059701493,0.14862571943953018,200,0.7575621890547264,0.10276981408776296,200,0.6017910447761193,0.07184899658790725,200,0.9133333333333333,0.2145984264747751,200,0.9941356562920544,0.014482384804690338,200,0.0941516709226582,0.024837528018279847,200
NfL + slope,ExTrees,12,0.7488340724316335,0.04590194286817762,200,0.6752919438285292,0.046942580947618134,200,0.6942424242424242,0.05201745456357684,200,0.6563414634146342,0.04186770733165941,200,0.6191891891891892,0.04639394596210906,200,0.7272972972972973,0.04639394596210906,200
NfL + slope,ExTrees,24,0.6920970695970696,0.0539441011051535,200,0.6460279304029304,0.05059022093531241,200,0.5908653846153846,0.02910670245593319,200,0.7011904761904763,0.07207373941469167,200,0.8304054054054055,0.04090671696509528,200,0.40902777777777777,0.042043014658570126,200
NfL + slope,ExTrees,36,0.786843220338983,0.04882506756757509,200,0.7254025423728814,0.04698645851785015,200,0.5933050847457627,0.018022203267120625,200,0.8575,0.07595071376857969,200,0.9460810810810811,0.028738107912435563,200,0.3334722222222222,0.029536388687780975,200
NfL + slope,ExTrees,54,0.8634807692307693,0.04719326688582329,200,0.7589951923076923,0.039291501407588594,200,0.5636153846153846,0.008611835924950906,200,0.954375,0.0699711668902263,200,0.9901351351351352,0.01512890094923809,200,0.21208333333333332,0.01554914819782808,200
NfL + slope,ExTrees,75,0.8852985074626867,0.054227943993688056,200,0.761231343283582,0.0005276916277511586,200,0.5224626865671641,0.001055383255502309,200,1.0,0.0,200,1.0,0.0,200,0.0857268907563025,0.00017826221374450427,200
NfL + slope,GBM,12,0.6695029563932003,0.051886856806538095,200,0.6160033259423503,0.05240708790024709,200,0.630909090909091,0.05841635889633825,200,0.6010975609756097,0.04746967204173991,200,0.5600935811462127,0.05160009201039333,200,0.6692636207636208,0.05211776621438391,200
NfL + slope,GBM,24,0.6424221611721612,0.05164814093774506,200,0.6093200549450549,0.05110949266471277,200,0.5722115384615385,0.030936531784289515,200,0.6464285714285714,0.07231050021469543,200,0.8002479529124266,0.04109155359844731,200,0.3790692004074357,0.04280225512833754,200
NfL + slope,GBM,36,0.732136803874092,0.04789648181186026,200,0.6909140435835351,0.052900841409122955,200,0.5825423728813559,0.021780530114688994,200,0.7992857142857143,0.08544765901135001,200,0.9244220510996827,0.032159140211940086,200,0.312446099651982,0.033594224790516866,200
NfL + slope,GBM,54,0.7838269230769231,0.06771768662776227,200,0.7187403846153846,0.06459178979883518,200,0.5662307692307692,0.02432264565281574,200,0.87125,0.12143794039275435,200,0.9730890121244574,0.024865837342945615,200,0.1981441626619749,0.02593396261232463,200
